"","id","sampleType","CPE_phtype","AmpC_phtype","ESBL_phtype","ESBL_AmpC_phtype","other_phtype","amp_tx","ceft_clavtx"
"1","1","broilers","0","1","0","0","0","1","0"
"2","2","broilers","0","1","0","0","0","1","0"
"3","3","broilers","0","1","0","0","0","1","0"
"4","4","broilers","0","1","0","0","0","1","0"
"5","5","broilers","0","1","0","0","0","1","0"
"6","6","broilers","0","1","0","0","0","1","0"
"7","7","broilers","0","1","0","0","0","1","0"
"8","8","broilers","0","1","0","0","0","1","0"
"9","9","broilers","0","1","0","0","0","1","0"
"10","10","broilers","0","1","0","0","0","1","0"
"11","11","broilers","0","1","0","0","0","1","0"
"12","12","broilers","0","1","0","0","0","1","0"
"13","13","broilers","0","1","0","0","0","1","0"
"14","14","broilers","0","1","0","0","0","1","0"
"15","15","broilers","0","1","0","0","0","1","0"
"16","16","broilers","0","1","0","0","0","1","0"
"17","17","broilers","0","1","0","0","0","1","0"
"18","18","broilers","0","1","0","0","0","1","0"
"19","19","broilers","0","1","0","0","0","1","0"
"20","20","broilers","0","1","0","0","0","1","0"
"21","21","broilers","0","1","0","0","0","1","0"
"22","22","broilers","0","1","0","0","0","1","0"
"23","23","broilers","0","1","0","0","0","1","0"
"24","24","broilers","0","1","0","0","0","1","0"
"25","25","broilers","0","1","0","0","0","1","0"
"26","26","broilers","0","1","0","0","0","1","0"
"27","27","broilers","0","1","0","0","0","1","0"
"28","28","broilers","0","1","0","0","0","1","0"
"29","29","broilers","0","1","0","0","0","1","0"
"30","30","broilers","0","1","0","0","0","1","0"
"31","31","broilers","0","1","0","0","0","1","0"
"32","32","broilers","0","1","0","0","0","1","0"
"33","33","broilers","0","1","0","0","0","1","0"
"34","34","broilers","0","1","0","0","0","1","0"
"35","35","broilers","0","1","0","0","0","1","0"
"36","36","broilers","0","1","0","0","0","1","0"
"37","37","broilers","0","1","0","0","0","1","0"
"38","38","broilers","0","1","0","0","0","1","0"
"39","39","broilers","0","1","0","0","0","1","0"
"40","40","broilers","0","1","0","0","0","1","0"
"41","41","broilers","0","1","0","0","0","1","0"
"42","42","broilers","0","1","0","0","0","1","0"
"43","43","broilers","0","1","0","0","0","1","0"
"44","44","broilers","0","1","0","0","0","1","0"
"45","45","broilers","0","1","0","0","0","1","0"
"46","46","broilers","0","1","0","0","0","1","0"
"47","47","broilers","0","1","0","0","0","1","0"
"48","48","broilers","0","1","0","0","0","1","0"
"49","49","broilers","0","1","0","0","0","1","0"
"50","50","broilers","0","1","0","0","0","1","0"
"51","51","broilers","0","1","0","0","0","1","0"
"52","52","broilers","0","1","0","0","0","1","0"
"53","53","broilers","0","1","0","0","0","1","0"
"54","54","broilers","0","1","0","0","0","1","0"
"55","55","broilers","0","1","0","0","0","1","0"
"56","56","broilers","0","1","0","0","0","1","0"
"57","57","broilers","0","1","0","0","0","1","0"
"58","58","broilers","0","1","0","0","0","1","0"
"59","59","broilers","0","1","0","0","0","1","0"
"60","60","broilers","0","1","0","0","0","1","0"
"61","61","broilers","0","1","0","0","0","1","0"
"62","62","broilers","0","1","0","0","0","1","0"
"63","63","broilers","0","1","0","0","0","1","0"
"64","64","broilers","0","1","0","0","0","1","0"
"65","65","broilers","0","1","0","0","0","1","0"
"66","66","broilers","0","1","0","0","0","1","0"
"67","67","broilers","0","1","0","0","0","1","0"
"68","68","broilers","0","1","0","0","0","1","0"
"69","69","broilers","0","1","0","0","0","1","0"
"70","70","broilers","0","1","0","0","0","1","0"
"71","71","broilers","0","1","0","0","0","1","0"
"72","72","broilers","0","1","0","0","0","1","0"
"73","73","broilers","0","1","0","0","0","1","0"
"74","74","broilers","0","1","0","0","0","1","0"
"75","75","broilers","0","1","0","0","0","1","0"
"76","76","broilers","0","1","0","0","0","1","0"
"77","77","broilers","0","1","0","0","0","1","0"
"78","78","broilers","0","1","0","0","0","1","0"
"79","79","broilers","0","1","0","0","0","1","0"
"80","80","broilers","0","1","0","0","0","1","0"
"81","81","broilers","0","1","0","0","0","0","0"
"82","82","broilers","0","1","0","0","0","0","0"
"83","83","broilers","0","1","0","0","0","0","0"
"84","84","broilers","0","1","0","0","0","0","0"
"85","85","broilers","0","1","0","0","0","0","0"
"86","86","broilers","0","1","0","0","0","0","0"
"87","87","broilers","0","1","0","0","0","0","0"
"88","88","broilers","0","1","0","0","0","0","0"
"89","89","broilers","0","1","0","0","0","0","0"
"90","90","broilers","0","1","0","0","0","0","0"
"91","91","broilers","0","1","0","0","0","0","0"
"92","92","broilers","0","1","0","0","0","0","0"
"93","93","broilers","0","1","0","0","0","0","0"
"94","94","broilers","0","1","0","0","0","0","0"
"95","95","broilers","0","1","0","0","0","0","0"
"96","96","broilers","0","1","0","0","0","0","0"
"97","97","broilers","0","1","0","0","0","0","0"
"98","98","broilers","0","1","0","0","0","0","0"
"99","99","broilers","0","1","0","0","0","0","0"
"100","100","broilers","0","1","0","0","0","0","0"
"101","101","broilers","0","1","0","0","0","0","0"
"102","102","broilers","0","1","0","0","0","0","0"
"103","103","broilers","0","1","1","1","0","0","1"
"104","104","broilers","0","0","1","0","0","1","1"
"105","105","broilers","0","0","1","0","0","1","1"
"106","106","broilers","0","0","1","0","0","1","1"
"107","107","broilers","0","0","1","0","0","1","1"
"108","108","broilers","0","0","1","0","0","1","1"
"109","109","broilers","0","0","1","0","0","1","1"
"110","110","broilers","0","0","1","0","0","1","1"
"111","111","broilers","0","0","1","0","0","1","1"
"112","112","broilers","0","0","1","0","0","1","1"
"113","113","broilers","0","0","1","0","0","1","1"
"114","114","broilers","0","0","1","0","0","1","1"
"115","115","broilers","0","0","1","0","0","1","1"
"116","116","broilers","0","0","1","0","0","1","1"
"117","117","broilers","0","0","1","0","0","1","1"
"118","118","broilers","0","0","1","0","0","1","0"
"119","119","broilers","0","0","1","0","0","1","0"
"120","120","broilers","0","0","1","0","0","1","0"
"121","121","broilers","0","0","1","0","0","1","0"
"122","122","broilers","0","0","1","0","0","1","0"
"123","123","broilers","0","0","0","0","0","1","1"
"124","124","broilers","0","0","0","0","0","1","1"
"125","125","broilers","0","0","0","0","0","1","1"
"126","126","broilers","0","0","0","0","0","1","1"
"127","127","broilers","0","0","0","0","0","1","1"
"128","128","broilers","0","0","0","0","0","1","1"
"129","129","broilers","0","0","0","0","0","1","1"
"130","130","broilers","0","0","0","0","0","1","1"
"131","131","broilers","0","0","0","0","0","1","1"
"132","132","broilers","0","0","0","0","0","1","1"
"133","133","broilers","0","0","0","0","0","1","1"
"134","134","broilers","0","0","0","0","0","1","1"
"135","135","broilers","0","0","0","0","0","1","1"
"136","136","broilers","0","0","0","0","0","1","1"
"137","137","broilers","0","0","0","0","0","1","1"
"138","138","broilers","0","0","0","0","0","1","1"
"139","139","broilers","0","0","0","0","0","1","1"
"140","140","broilers","0","0","0","0","0","1","1"
"141","141","broilers","0","0","0","0","0","1","1"
"142","142","broilers","0","0","0","0","0","1","1"
"143","143","broilers","0","0","0","0","0","1","1"
"144","144","broilers","0","0","0","0","0","1","1"
"145","145","broilers","0","0","0","0","0","1","1"
"146","146","broilers","0","0","0","0","0","1","1"
"147","147","broilers","0","0","0","0","0","1","1"
"148","148","broilers","0","0","0","0","0","1","1"
"149","149","broilers","0","0","0","0","0","1","1"
"150","150","broilers","0","0","0","0","0","1","1"
