antibiotic,mm
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
Cefoxitin,6
